ingreso_mensual,gastos_mensuales,antiguedad_laboral_meses,label
2786437,2859031,3,0
3633887,3717987,33,0
2072696,2153409,32,0
4870198,3394151,98,1
4827258,4792294,85,0
1558199,1652645,118,0
2687343,1504089,85,2
1784040,1133043,50,1
1710266,1497154,84,0
569680,307791,120,2
3203996,2893360,85,0
2712324,974033,91,2
636802,457733,113,1
1681774,669095,14,2
4578023,2447680,85,2
1501985,761357,102,2
1066516,1035743,115,0
2651483,1205931,25,2
4933992,4671298,60,0
1513454,1415334,82,0
3491824,2441156,30,1
3903450,1901271,72,2
1493133,718969,31,2
3749795,2519636,40,1
2091802,642282,53,2
3308607,2399007,64,1
3314237,3520460,54,0
2864564,1213903,59,2
815333,618574,36,1
4242391,4536911,19,0
1875588,1853865,6,0
1257985,1233208,24,0
587566,562582,70,0
3118108,1706287,94,2
3516796,3560733,20,0
476304,501583,13,0
2755628,1919664,90,1
1441881,841563,37,2
3367795,2126369,114,1
1202086,682021,86,2
3578314,1681574,39,2
2178983,1731766,35,1
4708958,3532083,63,1
1032596,691910,9,1
1968905,741640,14,2
921978,864368,21,0
4653591,2047333,93,2
4435761,1737264,62,2
1586531,1266777,1,1
3435927,2126548,81,1
4159222,1446772,51,2
2953924,1726435,61,2
2836393,2602175,26,0
1512521,1198218,66,1
828273,488870,117,2
4527192,2052828,9,1
4541923,3658231,34,1
3312267,3345536,29,0
1959537,1600977,30,1
2006364,1906694,45,0
3739396,2681978,98,1
4526707,3958048,110,0
4480598,4556684,24,0
3987428,3662624,65,0
3353346,3446847,76,0
787044,507574,63,1
1143492,1170223,52,0
4533349,3614230,23,1
3189574,3176940,59,0
442306,146625,48,2
866769,716196,95,1
3452108,3377474,92,0
423283,185974,16,2
1139717,945315,11,1
2924175,2807102,109,0
3582718,1900128,64,2
3399022,2121659,103,1
1431639,1081767,7,1
3676024,2629586,63,1
1491346,494160,65,2
1896839,718784,103,2
3833860,1458298,12,1
3388311,1727410,29,2
4306428,2138965,49,2
3425019,3061207,104,0
3014220,2285368,113,1
830904,757104,119,0
2091493,744397,115,2
1619931,1114790,1,1
1522352,851026,6,1
4875849,4778095,18,0
2208250,1912855,42,0
4503414,4482729,100,0
3303238,1113659,107,2
4056132,3555844,22,0
2712131,1985298,74,1
3053758,2931608,110,0
2665581,1881177,56,1
1298118,950439,12,1
3723280,1271179,55,2
1691553,1412139,45,1
511853,265402,69,2
3369173,1063834,53,2
1214709,428974,2,1
4726109,5037222,119,0
4788071,2762056,65,2
4608376,4582848,57,0
2102730,2245173,115,0
471100,496829,19,0
4670265,4695392,23,0
2369647,2407266,97,0
4846612,2574552,31,2
4832652,2035397,96,2
4323843,3508410,33,1
1754465,1211431,4,1
2171450,822974,62,2
4315229,3633565,24,1
1857841,1393916,91,1
1179667,1168405,77,0
2961286,2331560,111,1
4706312,3572829,94,1
3601737,2350499,22,1
3022281,2025623,96,1
847012,900801,77,0
3229033,1326347,80,2
4954248,3254817,100,1
1044386,861266,69,1
2784316,1799806,56,1
4435916,2335831,76,2
3807536,2017559,36,2
3606272,1755984,22,2
3631427,2088515,74,2
2053659,2048196,28,0
1750522,1232682,10,1
4123061,2029334,0,1
4126522,2507363,73,1
4388533,1688112,43,2
4600907,4707779,90,0
2752175,1724398,45,1
2706975,2935208,58,0
4072158,2353834,49,2
3389834,3285037,78,0
3629048,1833062,43,2
4060646,1465578,116,2
4494025,1462296,112,2
1954778,1534373,102,1
2127682,1168648,110,2
832317,545014,54,1
3060089,2922133,64,0
565334,281812,89,2
2541751,1390139,84,2
2896165,2827436,107,0
1718090,1192715,86,1
3117833,2999767,120,0
540301,323954,42,2
571802,353771,100,1
4183963,1814629,84,2
2056877,2124912,83,0
984478,1001635,39,0
2802319,3047168,94,0
3941970,2451739,108,1
1392777,1329951,26,0
3265296,2063546,75,1
792598,525841,47,1
637736,614777,119,0
2844231,1256847,57,2
2886922,1374893,27,2
3332178,1838638,46,2
3740020,3480250,78,0
4888920,2924167,9,1
2774982,1627623,72,2
1885600,2072374,112,0
4057856,2463301,102,1
1645828,819979,8,1
2419269,1931958,119,1
760899,716390,84,0
516613,183752,19,2
4828183,3838955,1,1
4245509,1395025,21,2
3601481,2596905,101,1
2281184,1153351,3,1
1197154,652824,28,2
1119610,754256,91,1
1551117,1615777,70,0
2926443,2541714,94,0
3687141,3869568,90,0
3436908,2845680,6,1
1687696,515905,107,2
4792380,2455942,27,2
3794326,3887735,66,0
2950029,2403555,77,1
3213915,3488120,20,0
2330160,989785,117,2
1539563,827358,59,2
2037474,1201894,7,1
3886092,2181055,112,2
466210,233848,70,2
933934,611514,84,1
611612,497754,63,0
587352,322460,100,2
4335119,1576943,4,1
3636826,3152496,32,0
2581200,1722211,56,1
850037,633436,9,1
2661433,1768045,85,1
2577970,2609643,47,0
1196729,893951,33,1
2395718,2488244,0,0
2233122,1582078,86,1
3232910,1726602,100,2
3321431,1940892,47,2
608398,436650,68,1
2123218,1537192,27,1
3278956,2786687,75,1
2714427,1301828,1,1
4339853,3589381,59,1
3429991,3165437,77,0
1149498,967043,110,1
724616,496697,46,1
3355129,3668312,92,0
521952,325620,72,1
3094568,1192252,111,2
4725059,4522843,48,0
3047181,1431447,38,2
2185582,1902830,106,0
3359126,1488701,6,1
2507963,786251,16,2
2909837,1244942,10,1
4730738,2845969,101,1
2176072,838429,1,1
4821477,2208927,103,2
4564613,4161562,54,0
1300639,1191264,0,0
719062,685978,48,0
863579,840197,22,0
483820,307878,75,1
834438,829464,82,0
3541831,2552773,59,1
727468,492116,5,1
1867288,1633558,79,0
4286426,2019141,101,2
507051,472368,86,0
4146555,2668609,100,1
1696532,681728,24,2
943558,373130,107,2
3604991,1557087,39,2
3293137,3334164,2,0
4436371,4847846,101,0
3781327,2214266,113,2
4096012,2186104,79,2
1697359,806274,28,2
1216222,1166421,30,0
3852828,1800681,56,2
4111440,4272905,108,0
4956324,4132981,18,1
2298041,2338722,99,0
2111283,1569122,35,1
3971500,3385878,97,0
1967696,1565433,110,1
4681484,4517427,51,0
4348699,4212535,44,0
2373373,1831851,96,1
3854007,3106353,64,1
3870897,4016059,82,0
874370,912749,75,0
4551743,3784319,18,1
2724161,834147,101,2
4201704,1611475,23,2
1872228,1846680,112,0
4519407,1662108,30,2
2190328,1031240,88,2
449853,217926,34,2
4564757,3561368,38,1
819919,624209,37,1
1868843,993353,90,2
4770285,2223378,67,2
4772793,4351000,106,0
3037814,3184738,37,0
3306451,1131615,83,2
2462849,1001258,90,2
1748770,1423028,18,1
1911857,1803939,48,0
3493585,3259343,58,0
3860923,3381190,43,0
4041264,4081443,39,0
4032243,1910796,82,2
819548,316208,26,2
2674333,2118849,85,1
664770,636731,112,0
2927833,2241651,68,1
2431040,2602181,73,0
4483439,4198524,8,0
2014209,1733496,104,0
938508,326794,34,2
1057762,408501,74,2
3902949,3621430,117,0
3243803,1487577,71,2
865164,279507,87,2
786891,809403,53,0
3624458,3670287,7,0
734710,348831,96,2
4180556,3863524,4,0
3648714,1234666,84,2
774204,408816,3,1
790253,631360,103,1
4938542,4496756,19,0
2121646,654144,62,2
2104954,1180809,72,2
4138878,1951384,55,2
4757343,5228436,41,0
4935605,4130044,56,1
3865540,2414173,37,1
2130794,768198,53,2
784103,610766,43,1
3974876,3233010,68,1
2968660,2829503,29,0
2351421,1248279,119,2
4569230,4958266,60,0
911508,593914,23,1
2666075,1431029,57,2
452227,261731,104,2
2555839,1829134,3,1
658995,691524,82,0
946562,840668,66,0
940621,716459,20,1
3386367,1456979,98,2
3831806,1607376,44,2
3083496,2163867,35,1
4825994,4261193,99,0
2124405,1913684,77,0
1714276,824106,108,2
4395556,1670661,76,2
1428541,867937,89,1
4830824,4997671,100,0
455911,335684,7,0
4861443,2703350,93,2
598536,334528,74,2
4499258,1825212,8,1
2827425,1918631,61,1
4967638,4635254,10,0
739464,794811,88,0
2947730,2067172,66,1
4858792,2107607,114,2
2806250,2375099,22,1
3295234,2983614,73,0
3600444,1286654,25,2
2490889,2441348,74,0
3286767,3166662,87,0
3087846,2093661,87,1
4545327,3401441,98,1
609053,530319,102,0
1692431,1424009,9,1
4771893,1494694,41,2
4495213,1788862,82,2
2496021,1073470,60,2
3252610,2942118,23,0
1675953,1092834,66,1
1265357,931812,49,1
2533013,2325685,47,0
2025420,1160132,97,2
3084818,2773598,49,0
757579,495335,3,1
4882216,2937845,7,1
4936569,2796220,103,2
3611544,3871416,115,0
2866043,2629820,83,0
1823827,576615,44,2
4143457,4416645,113,0
3549763,3267031,80,0
1148038,481418,101,2
4590265,1657409,92,2
4183671,2286608,45,2
4769080,3812141,57,1
3738310,2965367,22,1
3221710,1677480,35,2
2323918,1525745,93,1
4690551,2202271,107,2
4383894,1492553,87,2
608006,433859,56,1
521288,301092,10,1
2131731,1565343,7,1
4128545,4364722,45,0
4941470,2049209,56,2
1091918,329289,73,2
3133001,1132588,1,1
2152098,1442264,119,1
4861606,4207942,44,0
4273747,3267754,102,1
4256312,2962034,64,1
2555989,1490577,16,2
2308170,1264829,96,2
1657673,996309,85,1
659327,520412,63,0
4377723,1900821,62,2
4139345,3796150,10,0
4998701,3800026,79,1
4984529,2568653,109,2
2954986,2071216,11,1
3937342,4213834,32,0
4745922,1501578,108,2
4308378,1980209,34,2
1537801,1012956,78,1
2472503,2004586,64,1
994133,467027,72,2
4788635,5004713,50,0
3188403,2595544,36,1
1451757,1454581,6,0
3489823,1966356,89,2
3243390,3123914,90,0
2047549,1233802,80,1
922365,463213,77,2
3489237,3591556,29,0
2793415,1044108,3,1
3952665,4167338,97,0
2792752,1862241,59,1
4320035,4726552,37,0
2938771,2150228,12,1
2980315,2700137,8,0
4432607,1354856,42,2
2256021,1573199,97,1
1016470,904621,110,0
532400,493142,108,0
3873631,1651867,110,2
3253424,2066499,109,1
3638767,2311554,63,1
1379635,528280,26,2
1027309,672308,96,1
466905,441541,26,0
2012703,1087151,32,2
3113621,2011585,28,1
2204323,2355907,62,0
2412385,784909,39,2
4559130,3525199,18,1
2001975,1791265,54,0
2764352,2511983,105,0
4004804,3495194,68,0
2224097,1959788,105,0
3261599,1132460,24,2
4366873,3176067,20,1
4767795,4416767,69,0
1076538,403973,56,2
4662303,1443635,79,2
2663735,2534942,95,0
1587924,1381233,90,0
2512024,1581985,113,1
4908150,5164930,48,0
2666043,2434840,25,0
1912257,2054317,66,0
3313644,3457629,13,0
1504670,1030751,35,1
748971,676896,25,0
992847,829378,48,1
989011,938726,13,0
1098752,1022005,4,0
1038605,438899,79,2
3348024,1630449,73,2
1236648,633888,85,2
1990070,1900116,79,0
4525227,4292600,14,0
2580224,1796528,35,1
3470766,2653976,16,1
1192671,1146799,101,0
1284529,706587,90,2
587996,200003,24,2
1177101,807582,41,1
1681516,1733598,116,0
1214248,1132134,71,0
808032,479400,96,2
954925,335959,32,2
2519582,2039692,25,1
1349135,1305413,94,0
2075641,1726848,82,1
2715719,1738223,82,1
3575816,1425617,66,2
580836,597459,68,0
4077288,2123316,88,2
3288342,1576528,32,2
776092,739446,42,0
4418462,4793925,105,0
4636013,3839213,37,1
680959,544664,66,0
1673637,929780,84,2
4108526,1299653,120,2
3841995,1742107,52,2
1248797,958507,51,1
1363007,573898,101,2
2104172,2119045,97,0
2628806,1184318,88,2
3243972,2328145,56,1
2097003,1488055,39,1
2527660,1979553,73,1
3838366,2156959,105,2
568743,568076,106,0
1561210,1023281,13,1
3681408,3166463,51,0
4517951,3653797,56,1
2753716,1084207,117,2
2847722,2272800,81,1
892991,661316,49,1
2458097,2504514,3,0
2850039,2863438,68,0
1515364,637610,12,1
1638519,598630,100,2
2135507,1143935,90,2
492328,536288,55,0
1881564,596943,52,2
1372661,1150721,108,1
1906488,1500046,35,1
950906,777140,30,1
4496425,2134133,113,2
3130525,1506953,97,2
3523871,2271183,98,1
4030188,1518116,23,2
2692834,968587,17,2
799833,296488,3,1
2870690,2177084,28,1
3099469,1916072,93,1
3829022,2048118,29,2
2385634,1318434,87,2
986869,459710,30,2
1705369,1073026,47,1
2070179,957347,118,2
3371219,2893979,29,0
3025580,1207648,45,2
2038045,2157461,36,0
4937970,1836210,13,2
3186564,3361088,59,0
1491243,1441489,45,0
868199,733255,83,0
1103152,1136072,98,0
1531406,629982,65,2
1139134,502417,4,1
1258208,631271,74,2
1711438,848615,7,1
1197519,657053,74,2
4525121,3441376,82,1
769075,248056,24,2
2812752,1704016,98,1
2287825,1137297,109,2
4918942,3862864,98,1
915379,996056,37,0
2230136,1592593,70,1
4859564,3112785,110,1
4381333,2605118,38,2
4158532,3858948,98,0
1586353,567256,1,1
1186083,1266519,0,0
3475759,2204793,91,1
4675130,2575812,91,2
2961109,3195791,95,0
3029418,3176960,112,0
1687904,1373190,14,1
3939667,1240231,28,2
1260401,1132884,108,0
1888924,1073751,21,2
2357008,1439246,82,1
2735008,1167831,64,2
1515085,1088992,10,1
928249,831379,34,0
3208852,1663498,62,2
1727701,1815790,102,0
3073696,1400958,85,2
1110068,391865,75,2
2613244,2131078,60,1
2849911,2791360,36,0
638388,678292,14,0
1948380,1780306,49,0
1018308,468136,3,1
691525,748319,25,0
4953817,5129919,52,0
1882828,810621,50,2
4125422,3081809,5,1
1571347,1169733,71,1
3534913,2311931,66,1
3897048,4237748,9,0
3139938,1091750,113,2
2569250,2059941,12,1
2294468,1065191,103,2
2004794,1447191,0,1
4675834,4319501,106,0
4220849,2099372,2,1
4839124,2974550,91,1
971767,1030670,43,0
3761990,3420344,89,0
4716366,3575848,48,1
1233672,589199,9,1
705883,451937,92,1
3809155,3501562,9,0
3042576,2910025,111,0
4272412,2117771,6,1
1042953,865284,58,1
4058230,1525904,87,2
1327486,422897,47,2
1152817,851862,26,1
1155623,554126,91,2
4147044,1505914,94,2
3459907,3058083,111,0
2806101,1959724,45,1
2050620,1921475,61,0
4435122,3686276,44,1
2205247,1949095,31,0
4156357,2268908,90,2
2420021,1235713,41,2
2133944,1665970,51,1
2528327,1163197,48,2
1786338,1701183,86,0
3839003,2757695,110,1
2712514,1306325,80,2
1468178,1174740,57,1
4538043,4792303,94,0
2165900,792017,77,2
2900343,1123814,7,1
4569772,4455853,11,0
3271495,1268277,5,1
937731,310858,55,2
4723228,2731653,99,2
3287457,2213658,38,1
1940566,1466205,46,1
1040652,734534,109,1
4052516,4176311,100,0
3252335,2975673,80,0
2853921,3102350,32,0
4511906,3073349,14,1
4027547,1479977,2,1
1097704,1168424,13,0
1833922,556211,35,2
1543050,1420959,66,0
3822153,1242298,8,1
554249,503797,16,0
3021493,3173628,22,0
3907310,2388961,76,1
4433122,2184518,74,2
1973576,949336,66,2
4177784,2896767,30,1
908906,396928,45,2
4293681,3599559,12,1
986448,586623,27,2
2227522,1244043,108,2
4067559,2721313,118,1
1089620,799857,78,1
1454556,601523,110,2
3722362,3224350,77,0
3712168,3735769,4,0
3349279,1749628,120,2
3592163,1596044,12,1
2896532,2631223,82,0
1558276,696290,30,2
1990202,662745,47,2
1235349,982590,78,1
4578873,2251895,52,2
3083602,1348917,30,2
2243917,2435283,40,0
2525227,1347188,41,2
4757503,4865759,115,0
1105416,489230,96,2
3096657,2957870,55,0
2727088,1913366,24,1
3212689,1165807,97,2
483307,428637,19,0
4411770,4472029,25,0
4687744,2017669,44,2
2999613,2641076,106,0
3604594,2364765,16,1
4643497,4193525,15,0
3653298,3182542,59,0
1101680,353948,33,2
3050926,1351490,68,2
3190889,2159663,54,1
2351001,2461205,52,0
3787643,2172815,13,2
4698088,3773029,17,1
4657615,1442310,99,2
2473861,2149542,106,0
920895,720559,28,1
4930270,4300752,14,0
4258931,4359989,6,0
973448,406122,73,2
4635873,2360919,86,2
4401523,4826819,45,0
2786655,1184404,82,2
3119867,2734568,86,0
2235412,1967299,112,0
651904,551768,8,0
1941907,935907,23,2
4093126,1932394,8,1
421307,350980,104,0
1934096,868409,95,2
2231576,1850536,69,1
2872020,1993247,10,1
4631336,2821887,33,1
1993192,1076694,36,2
1995985,2111875,67,0
3792506,2679310,31,1
2480203,1857676,9,1
1433182,1518320,88,0
2481222,2042298,36,1
1047942,1117402,54,0
1211380,466494,15,2
2692492,2631404,96,0
2327057,1322540,68,2
4608291,4370457,108,0
2067012,2034992,59,0
3070706,1588140,113,2
3308416,2074590,107,1
460235,405380,69,0
3452272,1309255,112,2
1218965,1102465,39,0
4820923,1872342,44,2
1083849,1118060,5,0
2307271,1202253,71,2
792608,602762,87,1
4985622,1962953,93,2
2710097,1397311,18,2
3138771,1955969,53,1
708552,488645,21,1
3849818,1155153,79,2
1365566,1380484,19,0
4531050,1387135,108,2
1343642,1234737,28,0
1277164,863954,35,1
568128,408543,102,1
2571508,1199897,55,2
2998269,2356324,3,1
702260,512499,59,1
3967427,1711505,10,1
2485129,1218944,118,2
2812195,994175,71,2
2427509,856976,31,2
2243510,697778,68,2
2974346,1416917,9,1
1114105,940003,96,1
1236869,683955,111,2
4364214,2505877,105,2
4752131,1927105,41,2
2117223,1609887,39,1
1645425,944005,4,1
3362398,2827956,78,1
2280177,2036580,64,0
516777,396758,55,0
1118302,582474,109,2
3693472,2610865,20,1
3431050,1720825,1,1
524642,536357,9,0
1421072,1297593,27,0
1462944,1015875,4,1
3490707,3743314,60,0
490668,361821,38,0
878899,494670,22,2
4079614,1535460,90,2
1221305,897655,25,1
3402632,3362935,83,0
1495641,1485732,42,0
857430,671928,61,1
1518592,933556,112,1
3722428,3053273,4,1
4336204,3944698,60,0
4219011,2655023,103,1
2227044,1516625,71,1
3473192,2933086,33,1
1342928,1344703,48,0
1748480,1630996,82,0
4523145,1437967,107,2
459809,183693,5,1
793339,779236,9,0
1356277,1311599,39,0
522048,318995,28,1
1234603,947462,32,1
3081991,3158042,27,0
2338553,2406948,23,0
4506290,4174962,16,0
4160240,1945624,112,2
1972360,1744012,17,0
1593348,606872,25,2
2146585,2179107,30,0
3115357,1306328,112,2
1633093,1355269,91,1
3271085,2578252,95,1
2283294,2104100,13,0
2939417,2178878,100,1
2406182,836517,49,2
1754542,1517113,32,0
4762885,2888803,69,1
3912587,2176290,99,2
1044521,1142015,93,0
4394953,3394309,107,1
2642184,2294935,111,0
4514940,3255547,29,1
4079334,3736581,51,0
2355982,2124291,2,0
503359,415632,106,0
1635916,1796554,19,0
2891517,1931056,103,1
3314000,2866457,40,0
1586283,1488287,44,0
1041038,625485,5,1
4240679,2823190,39,1
4928250,5299514,107,0
2818175,918254,3,1
1189725,676045,49,2
1652614,1138602,4,1
484597,145947,45,2
4605775,4694674,21,0
941655,498131,30,2
3051976,1544800,105,2
1660654,1588019,52,0
2949219,1540632,33,2
3396534,2805870,71,1
4216812,4036343,17,0
1349538,1260443,31,0
450581,417040,66,0
1029674,381916,29,2
4540086,1652035,81,2
4419894,2410681,59,2
3148100,1034964,93,2
3162378,2214751,114,1
3459169,2130245,14,1
1206708,899746,40,1
4606295,2482935,38,2
2326344,1601928,18,1
2162437,1227823,97,2
2787021,1271346,91,2
616043,504844,58,0
1164903,977061,65,1
3794955,3656004,7,0
780874,780719,67,0
3174500,2741401,95,0
1528606,1299313,69,1
2190760,756558,32,2
1727991,670155,80,2
2036094,1934392,43,0
3707611,1803238,65,2
1766760,1032586,59,2
3005461,1250987,46,2
2589832,1181278,86,2
3452887,3177809,106,0
4709417,2399390,1,1
3769832,2485178,112,1
1388726,585122,61,2
543442,457765,84,0
1606415,1417847,103,0
3137358,1849014,56,2
636559,590597,100,0
2683285,1319976,21,2
3145477,2684737,19,0
1937522,1712714,79,0
3946196,4241868,104,0
890352,432584,107,2
745634,279589,77,2
3749668,1913937,63,2
2679260,1067122,40,2
3566651,1554188,118,2
2400206,1361617,38,2
1533449,967902,89,1
4167871,4263646,64,0
4077313,1861263,73,2
3595604,3873929,47,0
1651868,1566173,116,0
3115061,3131188,69,0
2060480,2150225,113,0
821278,741279,1,0
4619642,4300997,69,0
1029366,669350,86,1
4771092,3379652,89,1
2451627,2564373,109,0
1251611,754227,1,1
2892744,964897,0,1
4415551,4019050,57,0
3768234,2858304,4,1
4110181,3912485,117,0
3430403,1236458,27,2
3584472,2856773,57,1
4306300,2145247,7,1
1548473,1583491,63,0
2651355,1028535,46,2
1417563,1381352,5,0
4943273,1833180,40,2
4742673,1518025,47,2
581363,283733,119,2
3645646,2065024,25,2
4656142,3730608,65,1
1230647,498879,118,2
3012548,1957746,95,1
4611246,2136902,119,2
556152,547388,116,0
3608133,1212236,59,2
1767805,1033725,84,2
4652222,3745501,13,1
4866868,5015164,53,0
4743626,4717037,97,0
2581385,2623084,61,0
4365396,1529122,84,2
4284927,4168114,89,0
1867862,1725774,30,0
4213011,4305467,105,0
570235,313208,55,2
3142841,3235279,25,0
1458041,907066,104,1
954608,770635,50,1
753985,482055,90,1
3602928,2313508,66,1
1963425,1447652,46,1
3733927,2183382,97,2
700639,654530,70,0
1850336,1493056,47,1
2881660,2454611,13,0
4037327,1957408,107,2
1866262,2007463,4,0
3279100,2715557,104,1
4475498,2048689,43,2
3232971,2910942,77,0
1471614,645996,111,2
512244,179648,18,2
4402455,3178760,68,1
497839,369805,92,0
4423628,1995819,91,2
2833111,1639530,63,2
4719711,4986920,75,0
4074403,2151295,91,2
4990497,2118239,101,2
2013274,2202622,91,0
3929066,2128943,42,2
2248882,1898513,120,1
2607428,1265250,52,2
3286525,2432347,3,1
4418915,2691232,44,1
4926784,5268030,15,0
3934058,2542364,15,1
2321727,1781553,34,1
2338242,2468747,6,0
3792879,4139500,83,0
1498375,571370,9,1
908181,878626,24,0
2031262,1230322,11,1
1721299,1335492,8,1
1763017,1057878,32,1
1474596,915566,69,1
593629,253531,116,2
482220,365626,105,0
4943523,3645219,105,1
2367756,1069006,21,2
2167903,1589906,32,1
3526378,3803133,9,0
1403968,1223596,93,0
4769821,3266307,8,1
4017187,4149221,67,0
811291,616785,30,1
2320872,947005,29,2
4443944,3279665,119,1
4745767,2110815,91,2
2550047,2330753,100,0
3221692,3459258,69,0
1168356,687759,105,2
4959376,3213350,77,1
1465690,933933,114,1
4736566,2502044,34,2
3388375,3169296,71,0
3195589,2537882,83,1
2758367,968852,47,2
1461081,1418776,106,0
1212029,545014,118,2
1414237,1532072,59,0
1257616,756243,47,1
3986089,3161605,57,1
2010576,728349,102,2
666076,383481,77,2
4857872,4575548,5,0
4465415,3044372,65,1
4667661,4778204,2,0
4976576,3782749,93,1
1199918,1251344,39,0
2222713,2414062,57,0
3887897,2578125,96,1
3601695,2708926,6,1
1107921,1072397,19,0
4152832,1981841,48,2
1432427,1417105,28,0
1429561,1105817,41,1
2870082,2526821,120,0
3127524,1138053,99,2
3068397,2801293,106,0
820839,450337,112,2
4436320,4188710,41,0
1621760,1147107,36,1
995769,517492,28,2
4488241,4767445,100,0
4795997,4374189,82,0
4365787,4752373,28,0
4123774,2439525,45,2
3414113,2797441,61,1
2933944,2315677,63,1
800139,680155,107,0
2278885,753521,46,2
2114367,1127752,109,2
1594867,1638679,53,0
3727733,2382230,90,1
2681028,2864719,112,0
772813,363842,109,2
1412843,1551215,7,0
3542990,3040115,25,0
750202,691022,57,0
4315552,2664805,52,1
2677674,2746240,77,0
2610698,1922441,113,1
3125076,2639910,13,1
4193532,1576125,54,2
1999922,1610627,23,1
3518874,3530357,107,0
3002367,1328927,116,2
1628330,1449508,57,0
4441698,1422767,12,2
4068160,4234801,94,0
3428878,3724906,84,0
4312676,2515774,43,2
4389553,1692871,106,2
3658470,3025046,117,1
4250261,1376522,67,2
3608369,2475301,68,1
3528648,1825805,36,2
3245612,2202704,70,1
3862497,1215220,53,2
1129583,385515,36,2
4452005,1392501,8,1
4410480,3507679,30,1
534538,399874,24,0
4198757,2042806,65,2
992801,811431,72,1
1941547,1955848,73,0
3820138,1993568,47,2
1139496,1100291,51,0
4162648,3455029,100,1
4227817,1382734,57,2
2734352,1640939,119,1
429375,303227,53,0
1720375,1523150,78,0
3237864,1715111,6,1
4913456,5336918,78,0
3306342,2802561,102,1
1595096,954268,113,2
3316426,1252349,120,2
2883933,1283622,34,2
3987289,2751573,69,1
892111,620692,54,1
3900728,3565948,68,0
2889826,2545767,19,0
4829763,2226610,103,2
1972612,1530678,109,1
3310061,1047626,54,2
4687329,2900697,34,1
871545,794225,17,0
4711251,2919124,82,1
3564274,3451918,37,0
712050,769673,109,0
1784432,1402154,81,1
3657592,1521570,77,2
709813,428544,67,1
3077984,946747,5,1
1991062,1557370,112,1
3256211,3117024,75,0
610413,490743,119,0
4409069,4095448,64,0
4878049,4584991,85,0
4856838,4763636,7,0
3848398,1975502,76,2
998397,995416,92,0
3888011,3200903,93,1
513100,272856,92,2
501768,546845,27,0
